"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nasus","Top",1,"0.5%","0.0%","0.5%","0%","100%",3,6,2,0.8,"41.7%","31.6%","0%",102,566,10,8,"24.0%",566,"27.1%","22.1%",0.44,0.14
"Nautilus","Support",25,"11.6%","5.6%","17.2%","56%","76%",15,89,216,2.6,"60.6%","27.6%","36%",-141,-20,-1.3,1.5,"3.5%",144,"6.9%","8.8%",1.55,0.35
"Neeko","Support",2,"0.9%","0.0%","1.4%","100%","100%",6,5,17,4.6,"63.9%","18.5%","0%",581,560,-10,0.8,"3.0%",491,"21.5%","10.9%",1.62,0.47
"Neeko","Top",1,"0.5%","0.0%","1.4%","0%","100%",0,3,0,0,"-","21.4%","0%",21,-86,7,9.3,"24.8%",147,"22.9%","21.7%",0.33,0.3
"Nidalee","Jungle",69,"32.1%","19.1%","51.2%","49%","52%",205,130,329,4.1,"68.9%","15.9%","41%",7,37,1.2,6.7,"18.4%",385,"21.5%","20.0%",0.8,0.7
"Nocturne","Middle",2,"0.9%","1.9%","2.8%","0%","100%",7,9,9,1.8,"94.1%","20.0%","50%",122,51,-1.5,7.9,"25.6%",319,"15.9%","25.6%",0.54,0.15
"Olaf","Jungle",67,"31.2%","28.8%","60.0%","45%","55%",212,174,320,3.1,"70.5%","20.8%","36%",-31,-49,-1,5.8,"15.4%",320,"17.8%","18.9%",0.37,0.48
"Orianna","Middle",78,"36.3%","23.7%","60.0%","50%","44%",173,154,479,4.2,"72.2%","17.7%","13%",9,36,1.1,9.1,"26.5%",435,"24.9%","23.9%",0.51,0.27
"Ornn","Top",20,"9.3%","13.5%","22.8%","65%","40%",18,34,155,5.1,"67.3%","16.3%","10%",-153,14,-5.3,7.1,"19.6%",336,"18.1%","18.1%",0.48,0.18
"Pantheon","Jungle",18,"8.4%","23.7%","34.4%","44%","22%",53,63,98,2.4,"66.5%","24.6%","28%",-8,-116,-2.9,5.4,"15.0%",327,"16.4%","18.1%",0.88,0.41
