,tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
21,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'uls4Hg1ipIrsm-rKW-qzX3HP4wbDsppcFSYO0_taf0Ti6XE', 'summonerName': 'nugulkkayo', 'leaguePoints': 1341, 'rank': 'I', 'wins': 280, 'losses': 215, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",uls4Hg1ipIrsm-rKW-qzX3HP4wbDsppcFSYO0_taf0Ti6XE,nugulkkayo,1341,280,215,True,False,False,True
22,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'dLCBqP2GPIhegRNxm4to0tMWDAxd3uBW4aUhj1tL8znaJjY', 'summonerName': 'T1 Ellim', 'leaguePoints': 1333, 'rank': 'I', 'wins': 287, 'losses': 211, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",dLCBqP2GPIhegRNxm4to0tMWDAxd3uBW4aUhj1tL8znaJjY,T1 Ellim,1333,287,211,True,False,False,True
23,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Z46KZJfyIU270DlmI2aSnaBxLC9HQ9LGk_as7jOsrOqm7y6r6-XkbDJUZg', 'summonerName': 'T1 Oner', 'leaguePoints': 1320, 'rank': 'I', 'wins': 262, 'losses': 196, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Z46KZJfyIU270DlmI2aSnaBxLC9HQ9LGk_as7jOsrOqm7y6r6-XkbDJUZg,T1 Oner,1320,262,196,True,False,False,False
24,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'LQTuzn-gy2pSdR9XOXyBmkRqAf_Klyg3DilP83-IMwd5IZo', 'summonerName': 'Gen G Quid', 'leaguePoints': 1318, 'rank': 'I', 'wins': 1123, 'losses': 1035, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",LQTuzn-gy2pSdR9XOXyBmkRqAf_Klyg3DilP83-IMwd5IZo,Gen G Quid,1318,1123,1035,True,False,False,False
25,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'WZkRL2ML9K90Ihsh8kpSU1FYiP0P-V_aMv86Qy8s12N0NqU', 'summonerName': 'zzzusss', 'leaguePoints': 1317, 'rank': 'I', 'wins': 360, 'losses': 295, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",WZkRL2ML9K90Ihsh8kpSU1FYiP0P-V_aMv86Qy8s12N0NqU,zzzusss,1317,360,295,True,False,False,False
26,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '9fmji2QkOMg88KCb_-pNoRvobQnCmLONgIMWNILlRA-h2jE', 'summonerName': '권 지 인', 'leaguePoints': 1308, 'rank': 'I', 'wins': 322, 'losses': 252, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",9fmji2QkOMg88KCb_-pNoRvobQnCmLONgIMWNILlRA-h2jE,권 지 인,1308,322,252,True,False,False,False
27,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '3XncyzU04uqJyuZJTUM3blYbsthzbKbdoFg2PNvv7EA2rt8', 'summonerName': 'KT Rebel', 'leaguePoints': 1304, 'rank': 'I', 'wins': 493, 'losses': 428, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",3XncyzU04uqJyuZJTUM3blYbsthzbKbdoFg2PNvv7EA2rt8,KT Rebel,1304,493,428,True,False,False,False
28,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'nQKjD23Xet_kLpmRhuYNSG2tCk7bGVtSx7YNPJlHPQIH8VMG', 'summonerName': '가고싶다 롤드컵', 'leaguePoints': 1303, 'rank': 'I', 'wins': 354, 'losses': 286, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",nQKjD23Xet_kLpmRhuYNSG2tCk7bGVtSx7YNPJlHPQIH8VMG,가고싶다 롤드컵,1303,354,286,True,False,False,False
29,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '6NNJHg_krbPIN5pz-74KUh0CndahVUhaMCwHSVyA6mG00MU', 'summonerName': 'DK ShowMaker', 'leaguePoints': 1295, 'rank': 'I', 'wins': 290, 'losses': 225, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",6NNJHg_krbPIN5pz-74KUh0CndahVUhaMCwHSVyA6mG00MU,DK ShowMaker,1295,290,225,True,False,False,True
30,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '8rJDCmaoxPeUDOn3wRBTLsks4urhjGVh1morYgE0-SSxKes', 'summonerName': 'Gen G Peyz', 'leaguePoints': 1290, 'rank': 'I', 'wins': 913, 'losses': 845, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",8rJDCmaoxPeUDOn3wRBTLsks4urhjGVh1morYgE0-SSxKes,Gen G Peyz,1290,913,845,True,False,False,False
31,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'RGV7OBSOLcYVB9vDI3or2fdour6vx7vqMEbPYGSdfaJ2qyG9dSYRk_pH-A', 'summonerName': 'ON12', 'leaguePoints': 1279, 'rank': 'I', 'wins': 484, 'losses': 396, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",RGV7OBSOLcYVB9vDI3or2fdour6vx7vqMEbPYGSdfaJ2qyG9dSYRk_pH-A,ON12,1279,484,396,True,False,False,False
32,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '7QfBktvhlYXRxPGIm8BUL5rrxka8TEq1CjcmejAO57HbmLk', 'summonerName': 'Destiny', 'leaguePoints': 1278, 'rank': 'I', 'wins': 485, 'losses': 417, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",7QfBktvhlYXRxPGIm8BUL5rrxka8TEq1CjcmejAO57HbmLk,Destiny,1278,485,417,True,False,False,False
33,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'A2HLEb3EcmEo3LYvAu5ciJ0hKhMpg6zz04onIxayibYn--hPrEYJKuYl2g', 'summonerName': '너 죽이는 생각', 'leaguePoints': 1265, 'rank': 'I', 'wins': 457, 'losses': 396, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",A2HLEb3EcmEo3LYvAu5ciJ0hKhMpg6zz04onIxayibYn--hPrEYJKuYl2g,너 죽이는 생각,1265,457,396,True,False,False,False
34,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'nROVIgTsuxoBz_URxtjT1YxUQmoGVDavQUdxBtnyHSiSTZM', 'summonerName': 'T1 Berserker', 'leaguePoints': 1264, 'rank': 'I', 'wins': 402, 'losses': 338, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",nROVIgTsuxoBz_URxtjT1YxUQmoGVDavQUdxBtnyHSiSTZM,T1 Berserker,1264,402,338,True,False,False,False
35,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Lsq2E42W-tEhs15rrS6p1EXzRK28WzVYbk-6ViwjDFM9uEMGxT024cefGQ', 'summonerName': 'mnbvcxzs', 'leaguePoints': 1253, 'rank': 'I', 'wins': 421, 'losses': 348, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",Lsq2E42W-tEhs15rrS6p1EXzRK28WzVYbk-6ViwjDFM9uEMGxT024cefGQ,mnbvcxzs,1253,421,348,True,False,False,True
36,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'cuMimcK57t1zR2DriWTGfauy5F704VjIkFI3gPCed5r-a1M', 'summonerName': 'Liiv gyuvee', 'leaguePoints': 1251, 'rank': 'I', 'wins': 355, 'losses': 289, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",cuMimcK57t1zR2DriWTGfauy5F704VjIkFI3gPCed5r-a1M,Liiv gyuvee,1251,355,289,True,False,False,False
37,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Cl-1TmLketRcooTQYU4n6l4r8RUlX6FF1E1venWcylxAHvI', 'summonerName': 'Gen G Burdol', 'leaguePoints': 1250, 'rank': 'I', 'wins': 229, 'losses': 157, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Cl-1TmLketRcooTQYU4n6l4r8RUlX6FF1E1venWcylxAHvI,Gen G Burdol,1250,229,157,True,False,False,False
38,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'kGyAoshbb5NK_KXYeeQIdm7b-Udlp8rzy0mGXs4VTJReGk4', 'summonerName': '가고싶다 룰드컵', 'leaguePoints': 1247, 'rank': 'I', 'wins': 674, 'losses': 606, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",kGyAoshbb5NK_KXYeeQIdm7b-Udlp8rzy0mGXs4VTJReGk4,가고싶다 룰드컵,1247,674,606,True,False,False,True
39,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'MuiHu8o1EjL5mQu0XfsqtWzCY0IukrMuIZ93FLxZzqSwfwbAGoVJQtXgfA', 'summonerName': 'nodfan', 'leaguePoints': 1245, 'rank': 'I', 'wins': 165, 'losses': 98, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",MuiHu8o1EjL5mQu0XfsqtWzCY0IukrMuIZ93FLxZzqSwfwbAGoVJQtXgfA,nodfan,1245,165,98,True,False,False,False
40,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'rdkYS7P4gJ7Og-3m1uZrkHZ0jlvte1q4ysdsNeoKXNwf8oQ', 'summonerName': 'Liiv OnFleek', 'leaguePoints': 1243, 'rank': 'I', 'wins': 1046, 'losses': 972, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",rdkYS7P4gJ7Og-3m1uZrkHZ0jlvte1q4ysdsNeoKXNwf8oQ,Liiv OnFleek,1243,1046,972,True,False,False,False
41,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'DclC9FbaAKPeBrraKPtYE4JGbbnqAPLrH2b_XOEokFIT3aAo-5WBaF-0DQ', 'summonerName': 'a little story', 'leaguePoints': 1243, 'rank': 'I', 'wins': 983, 'losses': 879, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",DclC9FbaAKPeBrraKPtYE4JGbbnqAPLrH2b_XOEokFIT3aAo-5WBaF-0DQ,a little story,1243,983,879,True,False,False,False
42,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'akG3toOO71vmRrAB5VgQ5QavE9arBT7hW5BsGwyw00LqtaGKZKhYrwnAdQ', 'summonerName': 'ig q1019458971', 'leaguePoints': 1238, 'rank': 'I', 'wins': 369, 'losses': 300, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",akG3toOO71vmRrAB5VgQ5QavE9arBT7hW5BsGwyw00LqtaGKZKhYrwnAdQ,ig q1019458971,1238,369,300,False,False,False,False
43,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'aiN6xgHCv1C9c0e_Gh3oLUVXd5UiyESrMpfwo_AHz6FgKlI', 'summonerName': '역천괴', 'leaguePoints': 1236, 'rank': 'I', 'wins': 429, 'losses': 368, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",aiN6xgHCv1C9c0e_Gh3oLUVXd5UiyESrMpfwo_AHz6FgKlI,역천괴,1236,429,368,True,False,False,True
44,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '_OjT_76kVjul-WSkK9tZiwcSlBojU_bsAInP88m2C0FESzs', 'summonerName': 'T1 Gumayusi', 'leaguePoints': 1225, 'rank': 'I', 'wins': 750, 'losses': 690, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",_OjT_76kVjul-WSkK9tZiwcSlBojU_bsAInP88m2C0FESzs,T1 Gumayusi,1225,750,690,True,False,False,False
45,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'QQIv6jm84qjdweQ89wBjvnb27VxKS_k3vuai4dIM9hlI0ow', 'summonerName': 'U face z', 'leaguePoints': 1217, 'rank': 'I', 'wins': 426, 'losses': 349, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",QQIv6jm84qjdweQ89wBjvnb27VxKS_k3vuai4dIM9hlI0ow,U face z,1217,426,349,True,False,False,False
46,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'COqNQ-RUD88pH8STWwzYIxbxPl2t5f4LtqfKFwEq3e3pli8', 'summonerName': 'Gen G Clid', 'leaguePoints': 1215, 'rank': 'I', 'wins': 724, 'losses': 655, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",COqNQ-RUD88pH8STWwzYIxbxPl2t5f4LtqfKFwEq3e3pli8,Gen G Clid,1215,724,655,True,False,False,True
47,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'tRQwPMw3N8L_Nir2YlhJoBNWL6rZDXpHXVJM2H4L7dSmG1c', 'summonerName': 'GGGori', 'leaguePoints': 1199, 'rank': 'I', 'wins': 315, 'losses': 249, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",tRQwPMw3N8L_Nir2YlhJoBNWL6rZDXpHXVJM2H4L7dSmG1c,GGGori,1199,315,249,True,False,False,False
